Pais,Tipo GINI,Ciudad,Ano,GINI
Repœblica Dominicana,Rural,Repœblica Dominicana,1997,0.487
Repœblica Dominicana,Rural,Repœblica Dominicana,2002,0.473
Repœblica Dominicana,Rural,Repœblica Dominicana,2005,0.542
Repœblica Dominicana,Rural,Repœblica Dominicana,2010,0.512
Costa Rica,Urbano,Costa Rica,1990,0.419
Costa Rica,Urbano,Costa Rica,1994,0.443
Costa Rica,Urbano,Costa Rica,1999,0.472
Costa Rica,Urbano,Costa Rica,2002,0.49
Costa Rica,Urbano,Costa Rica,2005,0.482
Costa Rica,Urbano,Costa Rica,2010,0.48
Costa Rica,Rural,Costa Rica,1990,0.375
Costa Rica,Rural,Costa Rica,1994,0.38
Costa Rica,Rural,Costa Rica,1999,0.421
Costa Rica,Rural,Costa Rica,2002,0.496
Costa Rica,Rural,Costa Rica,2005,0.469
Costa Rica,Rural,Costa Rica,2010,0.488
Colombia,Urbano,Colombia,1991,0.484
Colombia,Urbano,Colombia,1994,0.579
Colombia,Urbano,Colombia,1999,0.564
Colombia,Urbano,Colombia,2002,0.571
Colombia,Urbano,Colombia,2005,0.561
Colombia,Urbano,Colombia,2010,0.555
Colombia,Rural,Colombia,1991,0.587
Colombia,Rural,Colombia,1994,0.572
Colombia,Rural,Colombia,1999,0.525
Colombia,Rural,Colombia,2002,0.542
Colombia,Rural,Colombia,2005,0.475
Colombia,Rural,Colombia,2010,0.494
Chile,Urbano,Chile,1990,0.543
Chile,Urbano,Chile,1994,0.546
Chile,Urbano,Chile,2000,0.559
Chile,Urbano,Chile,2003,0.547
Chile,Urbano,Chile,2006,0.517
Chile,Urbano,Chile,2009,0.524
Chile,Rural,Chile,1990,0.585
Chile,Rural,Chile,1994,0.504
Chile,Rural,Chile,2000,0.511
Chile,Rural,Chile,2003,0.507
Chile,Rural,Chile,2006,0.506
Chile,Rural,Chile,2009,0.466
Perœ,Urbano,Perœ,1999,0.508
Perœ,Urbano,Perœ,2003,0.483
Perœ,Urbano,Perœ,2006,0.421
Perœ,Urbano,Perœ,2010,0.409
Perœ,Rural,Perœ,1999,0.428
Perœ,Rural,Perœ,2003,0.381
Perœ,Rural,Perœ,2006,0.422
Perœ,Rural,Perœ,2010,0.403
Paraguay,Urbano,Paraguay,1990,--
Paraguay,Urbano,Paraguay,1994,0.511
Paraguay,Urbano,Paraguay,2000,0.51
Paraguay,Urbano,Paraguay,2005,0.508
Paraguay,Urbano,Paraguay,2010,0.468
Paraguay,Rural,Paraguay,1990,--
Paraguay,Rural,Paraguay,1994,--
Paraguay,Rural,Paraguay,2000,0.529
Paraguay,Rural,Paraguay,2005,0.506
Paraguay,Rural,Paraguay,2010,0.586
Panam‡,Urbano,Panam‡,1991,0.544
Panam‡,Urbano,Panam‡,1994,0.549
Panam‡,Urbano,Panam‡,1999,0.514
Panam‡,Urbano,Panam‡,2002,0.561
Panam‡,Urbano,Panam‡,2005,0.48
Panam‡,Urbano,Panam‡,2010,0.471
Panam‡,Rural,Panam‡,1991,0.535
Panam‡,Rural,Panam‡,1994,0.522
Panam‡,Rural,Panam‡,1999,0.511
Panam‡,Rural,Panam‡,2002,0.581
Panam‡,Rural,Panam‡,2005,0.524
Panam‡,Rural,Panam‡,2010,0.509
Uruguay,Urbano,Uruguay,1990,0.492
Uruguay,Urbano,Uruguay,1994,0.423
Uruguay,Urbano,Uruguay,1999,0.44
Uruguay,Urbano,Uruguay,2002,0.456
Uruguay,Urbano,Uruguay,2005,0.452
Uruguay,Urbano,Uruguay,2010,0.422
Uruguay,Rural,Uruguay,1990,--
Uruguay,Rural,Uruguay,1994,--
Uruguay,Rural,Uruguay,1999,--
Uruguay,Rural,Uruguay,2002,--
Uruguay,Rural,Uruguay,2005,--
Uruguay,Rural,Uruguay,2010,0.384
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),1990,0.46398
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),1994,0.47599
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),1999,--
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),2002,--
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),2005,--
Venezuela (Repœblica Bolivariana de),Urbano,Venezuela (Repœblica Bolivariana de),2010,--
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),1990,0.43124
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),1994,0.45974
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),1999,--
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),2002,--
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),2005,--
Venezuela (Repœblica Bolivariana de),Rural,Venezuela (Repœblica Bolivariana de),2010,--
Brasil ,Urbano,Brasil ,1990,0.606
Brasil ,Urbano,Brasil ,1993,0.604
Brasil ,Urbano,Brasil ,1999,0.625
Brasil ,Urbano,Brasil ,2003,0.612
Brasil ,Urbano,Brasil ,2005,0.604
Brasil ,Urbano,Brasil ,2009,0.569
Brasil ,Rural,Brasil ,1990,0.548
Brasil ,Rural,Brasil ,1993,0.589
Brasil ,Rural,Brasil ,1999,0.577
Brasil ,Rural,Brasil ,2003,0.564
Brasil ,Rural,Brasil ,2005,0.542
Brasil ,Rural,Brasil ,2009,0.523
Argentina,Urbano,Argentina,1990,--
Argentina,Urbano,Argentina,1994,0.515
Argentina,Urbano,Argentina,1999,0.539
Argentina,Urbano,Argentina,2002,0.578
Argentina,Urbano,Argentina,2005,0.558
Argentina,Urbano,Argentina,2010,0.509
Argentina,Rural,Argentina,1990,--
Argentina,Rural,Argentina,1994,--
Argentina,Rural,Argentina,1999,--
Argentina,Rural,Argentina,2002,--
Argentina,Rural,Argentina,2005,--
Argentina,Rural,Argentina,2010,--
Argentina,Urbano,Bah’a Blanca,1990,--
Argentina,Urbano,Bah’a Blanca,1994,--
Argentina,Urbano,Bah’a Blanca,1999,--
Argentina,Urbano,Bah’a Blanca,2002,0.52
Argentina,Urbano,Bah’a Blanca,2005,0.582
Argentina,Urbano,Bah’a Blanca,2010,0.454
Argentina,Urbano,Buenos Aires,1990,0.502
Argentina,Urbano,Buenos Aires,1994,0.508
Argentina,Urbano,Buenos Aires,1999,0.542
Argentina,Urbano,Buenos Aires,2002,0.59
Argentina,Urbano,Buenos Aires,2005,0.559
Argentina,Urbano,Buenos Aires,2010,0.506
Argentina,Urbano,Comodoro Rivadavia,1990,--
Argentina,Urbano,Comodoro Rivadavia,1994,0.534
Argentina,Urbano,Comodoro Rivadavia,1999,0.507
Argentina,Urbano,Comodoro Rivadavia,2002,0.599
Argentina,Urbano,Comodoro Rivadavia,2005,0.554
Argentina,Urbano,Comodoro Rivadavia,2010,0.522
Argentina,Urbano,Concordia,1990,--
Argentina,Urbano,Concordia,1994,--
Argentina,Urbano,Concordia,1999,0.563
Argentina,Urbano,Concordia,2002,0.565
Argentina,Urbano,Concordia,2005,0.558
Argentina,Urbano,Concordia,2010,0.526
Argentina,Urbano,Cordoba,1990,--
Argentina,Urbano,Cordoba,1994,0.519
Argentina,Urbano,Cordoba,1999,0.508
Argentina,Urbano,Cordoba,2002,0.549
Argentina,Urbano,Cordoba,2005,0.547
Argentina,Urbano,Cordoba,2010,0.506
Argentina,Urbano,Corrientes,1990,--
Argentina,Urbano,Corrientes,1994,--
Argentina,Urbano,Corrientes,1999,0.459
Argentina,Urbano,Corrientes,2002,0.486
Argentina,Urbano,Corrientes,2005,0.515
Argentina,Urbano,Corrientes,2010,0.505
Argentina,Urbano,Formosa,1990,--
Argentina,Urbano,Formosa,1994,--
Argentina,Urbano,Formosa,1999,0.528
Argentina,Urbano,Formosa,2002,0.528
Argentina,Urbano,Formosa,2005,0.458
Argentina,Urbano,Formosa,2010,0.451
Argentina,Urbano,Jujuy,1990,--
Argentina,Urbano,Jujuy,1994,0.497
Argentina,Urbano,Jujuy,1999,0.526
Argentina,Urbano,Jujuy,2002,0.545
Argentina,Urbano,Jujuy,2005,0.538
Argentina,Urbano,Jujuy,2010,0.484
Argentina,Urbano,La Plata,1990,--
Argentina,Urbano,La Plata,1994,--
Argentina,Urbano,La Plata,1999,0.519
Argentina,Urbano,La Plata,2002,0.473
Argentina,Urbano,La Plata,2005,0.522
Argentina,Urbano,La Plata,2010,0.462
Argentina,Urbano,La Rioja,1990,--
Argentina,Urbano,La Rioja,1994,--
Argentina,Urbano,La Rioja,1999,0.503
Argentina,Urbano,La Rioja,2002,0.517
Argentina,Urbano,La Rioja,2005,0.535
Argentina,Urbano,La Rioja,2010,0.424
Argentina,Urbano,Mar del Plata,1990,--
Argentina,Urbano,Mar del Plata,1994,--
Argentina,Urbano,Mar del Plata,1999,0.515
Argentina,Urbano,Mar del Plata,2002,0.489
Argentina,Urbano,Mar del Plata,2005,0.53
Argentina,Urbano,Mar del Plata,2010,0.475
Argentina,Urbano,Mendoza,1990,--
Argentina,Urbano,Mendoza,1994,0.523
Argentina,Urbano,Mendoza,1999,0.536
Argentina,Urbano,Mendoza,2002,0.532
Argentina,Urbano,Mendoza,2005,0.506
Argentina,Urbano,Mendoza,2010,0.463
Argentina,Urbano,Neuqu_n,1990,--
Argentina,Urbano,Neuqu_n,1994,0.541
Argentina,Urbano,Neuqu_n,1999,0.535
Argentina,Urbano,Neuqu_n,2002,0.559
Argentina,Urbano,Neuqu_n,2005,0.534
Argentina,Urbano,Neuqu_n,2010,0.611
Argentina,Urbano,Paran‡,1990,--
Argentina,Urbano,Paran‡,1994,0.458
Argentina,Urbano,Paran‡,1999,0.528
Argentina,Urbano,Paran‡,2002,0.545
Argentina,Urbano,Paran‡,2005,0.491
Argentina,Urbano,Paran‡,2010,0.466
Argentina,Urbano,Posadas,1990,--
Argentina,Urbano,Posadas,1994,--
Argentina,Urbano,Posadas,1999,0.58
Argentina,Urbano,Posadas,2002,0.52
Argentina,Urbano,Posadas,2005,0.523
Argentina,Urbano,Posadas,2010,0.501
Argentina,Urbano,Resistencia,1990,--
Argentina,Urbano,Resistencia,1994,0.518
Argentina,Urbano,Resistencia,1999,0.573
Argentina,Urbano,Resistencia,2002,0.563
Argentina,Urbano,Resistencia,2005,0.554
Argentina,Urbano,Resistencia,2010,0.453
Argentina,Urbano,R’o Cuarto,1990,--
Argentina,Urbano,R’o Cuarto,1994,--
Argentina,Urbano,R’o Cuarto,1999,0.481
Argentina,Urbano,R’o Cuarto,2002,0.599
Argentina,Urbano,R’o Cuarto,2005,0.608
Argentina,Urbano,R’o Cuarto,2010,0.543
Argentina,Urbano,R’o Gallegos,1990,--
Argentina,Urbano,R’o Gallegos,1994,0.435
Argentina,Urbano,R’o Gallegos,1999,0.447
Argentina,Urbano,R’o Gallegos,2002,0.455
Argentina,Urbano,R’o Gallegos,2005,0.492
Argentina,Urbano,R’o Gallegos,2010,0.5
Argentina,Urbano,Rosario,1990,--
Argentina,Urbano,Rosario,1994,0.478
Argentina,Urbano,Rosario,1999,0.43
Argentina,Urbano,Rosario,2002,0.512
Argentina,Urbano,Rosario,2005,0.504
Argentina,Urbano,Rosario,2010,0.492
Argentina,Urbano,Salta,1990,--
Argentina,Urbano,Salta,1994,0.471
Argentina,Urbano,Salta,1999,0.524
Argentina,Urbano,Salta,2002,0.621
Argentina,Urbano,Salta,2005,0.558
Argentina,Urbano,Salta,2010,0.503
Argentina,Urbano,San Fernando del Valle de Catamarca,1990, 
Argentina,Urbano,San Fernando del Valle de Catamarca,1994,0.493
Argentina,Urbano,San Fernando del Valle de Catamarca,1999,0.51
Argentina,Urbano,San Fernando del Valle de Catamarca,2002,0.533
Argentina,Urbano,San Fernando del Valle de Catamarca,2005,0.557
Argentina,Urbano,San Fernando del Valle de Catamarca,2010,0.479
Argentina,Urbano,San Juan,1990,--
Argentina,Urbano,San Juan,1994,0.467
Argentina,Urbano,San Juan,1999,0.519
Argentina,Urbano,San Juan,2002,0.487
Argentina,Urbano,San Juan,2005,0.532
Argentina,Urbano,San Juan,2010,0.484
Argentina,Urbano,San Luis,1990,--
Argentina,Urbano,San Luis,1994,0.521
Argentina,Urbano,San Luis,1999,0.491
Argentina,Urbano,San Luis,2002,0.558
Argentina,Urbano,San Luis,2005,0.452
Argentina,Urbano,San Luis,2010,0.471
Argentina,Urbano,Santa F_,1990,--
Argentina,Urbano,Santa F_,1994,0.445
Argentina,Urbano,Santa F_,1999,0.479
Argentina,Urbano,Santa F_,2002,0.522
Argentina,Urbano,Santa F_,2005,0.548
Argentina,Urbano,Santa F_,2010,0.45
Argentina,Urbano,Santa Rosa,1990,--
Argentina,Urbano,Santa Rosa,1994,0.454
Argentina,Urbano,Santa Rosa,1999,0.48
Argentina,Urbano,Santa Rosa,2002,0.609
Argentina,Urbano,Santa Rosa,2005,0.521
Argentina,Urbano,Santa Rosa,2010,0.484
Argentina,Urbano,Santiago del Estero,1990,--
Argentina,Urbano,Santiago del Estero,1994,0.475
Argentina,Urbano,Santiago del Estero,1999,0.46
Argentina,Urbano,Santiago del Estero,2002,0.513
Argentina,Urbano,Santiago del Estero,2005,0.527
Argentina,Urbano,Santiago del Estero,2010,0.454
Argentina,Urbano,Tucum‡n,1990,--
Argentina,Urbano,Tucum‡n,1994,0.544
Argentina,Urbano,Tucum‡n,1999,0.542
Argentina,Urbano,Tucum‡n,2002,0.584
Argentina,Urbano,Tucum‡n,2005,0.543
Argentina,Urbano,Tucum‡n,2010,0.513
Argentina,Urbano,Ushuaia,1990,--
Argentina,Urbano,Ushuaia,1994,0.477
Argentina,Urbano,Ushuaia,1999,0.5
Argentina,Urbano,Ushuaia,2002,0.557
Argentina,Urbano,Ushuaia,2005,0.571
Argentina,Urbano,Ushuaia,2010,0.508
Bolivia,Urbano,Cobija,1989,--
Bolivia,Urbano,Cobija,1994,--
Bolivia,Urbano,Cobija,1999,--
Bolivia,Urbano,Cobija,2004,0.458
Bolivia,Urbano,Cobija,2007,0.367
Bolivia,Urbano,Cochabamba,1989,0.499
Bolivia,Urbano,Cochabamba,1994,0.455
Bolivia,Urbano,Cochabamba,1999,0.431
Bolivia,Urbano,Cochabamba,2004,0.498
Bolivia,Urbano,Cochabamba,2007,0.505
Bolivia,Urbano,El Alto,1989,0.464
Bolivia,Urbano,El Alto,1994,0.43
Bolivia,Urbano,El Alto,1999,0.47
Bolivia,Urbano,El Alto,2004,0.394
Bolivia,Urbano,El Alto,2007,0.493
Bolivia,Urbano,La Paz,1989,0.557
Bolivia,Urbano,La Paz,1994,0.531
Bolivia,Urbano,La Paz,1999,0.555
Bolivia,Urbano,La Paz,2004,0.559
Bolivia,Urbano,La Paz,2007,0.569
Bolivia,Urbano,Oruro,1989,0.585
Bolivia,Urbano,Oruro,1994,0.468
Bolivia,Urbano,Oruro,1999,0.403
Bolivia,Urbano,Oruro,2004,0.442
Bolivia,Urbano,Oruro,2007,0.387
Bolivia,Urbano,Potos’,1989,0.513
Bolivia,Urbano,Potos’,1994,0.476
Bolivia,Urbano,Potos’,1999,0.441
Bolivia,Urbano,Potos’,2004,0.438
Bolivia,Urbano,Potos’,2007,0.504
Bolivia,Urbano,Santa Cruz,1989,0.504
Bolivia,Urbano,Santa Cruz,1994,0.501
Bolivia,Urbano,Santa Cruz,1999,0.44
Bolivia,Urbano,Santa Cruz,2004,0.497
Bolivia,Urbano,Santa Cruz,2007,0.494
Bolivia,Urbano,Sucre,1989,0.473
Bolivia,Urbano,Sucre,1994,0.487
Bolivia,Urbano,Sucre,1999,0.422
Bolivia,Urbano,Sucre,2004,0.508
Bolivia,Urbano,Sucre,2007,0.487
Bolivia,Urbano,Tarija,1989,0.474
Bolivia,Urbano,Tarija,1994,0.487
Bolivia,Urbano,Tarija,1999,0.386
Bolivia,Urbano,Tarija,2004,0.464
Bolivia,Urbano,Tarija,2007,0.435
Bolivia,Urbano,Trinidad,1989,0.58
Bolivia,Urbano,Trinidad,1994,0.372
Bolivia,Urbano,Trinidad,1999,0.473
Bolivia,Urbano,Trinidad,2004,0.452
Bolivia,Urbano,Trinidad,2007,0.4
Mexico,Urbano,Acapulco,1989,--
Mexico,Urbano,Acapulco,1994,--
Mexico,Urbano,Acapulco,2002,0.49
Mexico,Urbano,Acapulco,2005,0.487
Mexico,Urbano,Acapulco,2010,0.406
Mexico,Urbano,Aguascalientes,1989,--
Mexico,Urbano,Aguascalientes,1994,0.456
Mexico,Urbano,Aguascalientes,2002,0.446
Mexico,Urbano,Aguascalientes,2005,0.453
Mexico,Urbano,Aguascalientes,2010,0.383
Mexico,Urbano,Cancun,1989,--
Mexico,Urbano,Cancun,1994,--
Mexico,Urbano,Cancun,2002,0.415
Mexico,Urbano,Cancun,2005,0.398
Mexico,Urbano,Cancun,2010,0.432
Brasil,Urbano,Belem,1990,0.639
Brasil,Urbano,Belem,1993,0.643
Brasil,Urbano,Belem,1999,0.625
Brasil,Urbano,Belem,2003,0.579
Brasil,Urbano,Belem,2005,0.586
Brasil,Urbano,Belem,2009,0.542
Brasil,Urbano,Belo Horizonte,1990,0.628
Brasil,Urbano,Belo Horizonte,1993,0.625
Brasil,Urbano,Belo Horizonte,1999,0.636
Brasil,Urbano,Belo Horizonte,2003,0.607
Brasil,Urbano,Belo Horizonte,2005,0.607
Brasil,Urbano,Belo Horizonte,2009,0.567
Brasil,Urbano,Brasilia,1990,0.61
Brasil,Urbano,Brasilia,1993,0.629
Brasil,Urbano,Brasilia,1999,0.659
Brasil,Urbano,Brasilia,2003,0.666
Brasil,Urbano,Brasilia,2005,0.64
Brasil,Urbano,Brasilia,2009,0.672
Brasil,Urbano,Curitiba,1990,0.561
Brasil,Urbano,Curitiba,1993,
Brasil,Urbano,Curitiba,1999,0.649
Brasil,Urbano,Curitiba,2003,0.581
Brasil,Urbano,Curitiba,2005,0.594
Brasil,Urbano,Curitiba,2009,0.672
Brasil,Urbano,Fortaleza,1990,0.644
Brasil,Urbano,Fortaleza,1993,
Brasil,Urbano,Fortaleza,1999,0.659
Brasil,Urbano,Fortaleza,2003,0.617
Brasil,Urbano,Fortaleza,2005,0.613
Brasil,Urbano,Fortaleza,2009,0.602
Brasil,Urbano,Porto Alegre,1990,0.595
Brasil,Urbano,Porto Alegre,1993,0.598
Brasil,Urbano,Porto Alegre,1999,0.647
Brasil,Urbano,Porto Alegre,2003,0.607
Brasil,Urbano,Porto Alegre,2005,0.599
Brasil,Urbano,Porto Alegre,2009,0.544
Brasil,Urbano,Recife,1990,0.645
Brasil,Urbano,Recife,1993,0.644
Brasil,Urbano,Recife,1999,0.65
Brasil,Urbano,Recife,2003,0.638
Brasil,Urbano,Recife,2005,0.658
Brasil,Urbano,Recife,2009,0.596
Brasil,Urbano,Rio de Janeiro,1990,0.607
Brasil,Urbano,Rio de Janeiro,1993,0.606
Brasil,Urbano,Rio de Janeiro,1999,0.605
Brasil,Urbano,Rio de Janeiro,2003,0.592
Brasil,Urbano,Rio de Janeiro,2005,0.596
Brasil,Urbano,Rio de Janeiro,2009,0.58
Brasil,Urbano,Salvador,1990,0.66
Brasil,Urbano,Salvador,1993,0.673
Brasil,Urbano,Salvador,1999,0.663
Brasil,Urbano,Salvador,2003,0.651
Brasil,Urbano,Salvador,2005,0.618
Brasil,Urbano,Salvador,2009,0.62
Brasil,Urbano,Sao Paulo,1990,0.557
Brasil,Urbano,Sao Paulo,1993,0.574
Brasil,Urbano,Sao Paulo,1999,0.615
Brasil,Urbano,Sao Paulo,2003,0.609
Brasil,Urbano,Sao Paulo,2005,0.608
Brasil,Urbano,Sao Paulo,2009,0.547
Chile,Urbano,Ancud,1990,--
Chile,Urbano,Ancud,1994,--
Chile,Urbano,Ancud,2000,0.461
Chile,Urbano,Ancud,2003,0.437
Chile,Urbano,Ancud,2006,0.48
Chile,Urbano,Ancud,2009,0.413
Chile,Urbano,Angol,1990,0.556
Chile,Urbano,Angol,1994,0.465
Chile,Urbano,Angol,2000,0.487
Chile,Urbano,Angol,2003,0.454
Chile,Urbano,Angol,2006,0.481
Chile,Urbano,Angol,2009,0.489
Chile,Urbano,Antofagarasta,1990,0.51
Chile,Urbano,Antofagarasta,1994,0.494
Chile,Urbano,Antofagarasta,2000,0.543
Chile,Urbano,Antofagarasta,2003,0.422
Chile,Urbano,Antofagarasta,2006,0.384
Chile,Urbano,Antofagarasta,2009,0.376
Chile,Urbano,Arauco,1990,--
Chile,Urbano,Arauco,1994,0.455
Chile,Urbano,Arauco,2000,0.548
Chile,Urbano,Arauco,2003,0.463
Chile,Urbano,Arauco,2006,0.436
Chile,Urbano,Arauco,2009,0.551
Chile,Urbano,Arica,1990,0.469
Chile,Urbano,Arica,1994,0.524
Chile,Urbano,Arica,2000,0.566
Chile,Urbano,Arica,2003,0.484
Chile,Urbano,Arica,2006,0.378
Chile,Urbano,Arica,2009,0.421
Chile,Urbano,Buin,1990,0.424
Chile,Urbano,Buin,1994,0.365
Chile,Urbano,Buin,2000,0.49
Chile,Urbano,Buin,2003,0.502
Chile,Urbano,Buin,2006,0.399
Chile,Urbano,Buin,2009,0.354
Chile,Urbano,Calama,1990,0.538
Chile,Urbano,Calama,1994,0.501
Chile,Urbano,Calama,2000,0.414
Chile,Urbano,Calama,2003,0.469
Chile,Urbano,Calama,2006,0.431
Chile,Urbano,Calama,2009,0.403
Chile,Urbano,Castro,1990,0.484
Chile,Urbano,Castro,1994,0.501
Chile,Urbano,Castro,2000,0.353
Chile,Urbano,Castro,2003,0.422
Chile,Urbano,Castro,2006,0.393
Chile,Urbano,Castro,2009,0.394
Chile,Urbano,Cauquenes,1990,0.478
Chile,Urbano,Cauquenes,1994,0.537
Chile,Urbano,Cauquenes,2000,0.52
Chile,Urbano,Cauquenes,2003,0.436
Chile,Urbano,Cauquenes,2006,0.477
Chile,Urbano,Cauquenes,2009,0.538
Chile,Urbano,Cha–aral,1990,0.516
Chile,Urbano,Cha–aral,1994,0.375
Chile,Urbano,Cha–aral,2000,0.472
Chile,Urbano,Cha–aral,2003,0.43
Chile,Urbano,Cha–aral,2006,0.454
Chile,Urbano,Cha–aral,2009,0.469
Chile,Urbano,Chill‡n,1990,0.573
Chile,Urbano,Chill‡n,1994,0.479
Chile,Urbano,Chill‡n,2000,0.212
Chile,Urbano,Chill‡n,2003,0.496
Chile,Urbano,Chill‡n,2006,0.513
Chile,Urbano,Chill‡n,2009,0.391
Chile,Urbano,Colhaique,1990,0.525
Chile,Urbano,Colhaique,1994,0.511
Chile,Urbano,Colhaique,2000,0.468
Chile,Urbano,Colhaique,2003,0.534
Chile,Urbano,Colhaique,2006,0.422
Chile,Urbano,Colhaique,2009,0.557
Chile,Urbano,Colina,1990,0.368
Chile,Urbano,Colina,1994,0.395
Chile,Urbano,Colina,2000,0.443
Chile,Urbano,Colina,2003,0.383
Chile,Urbano,Colina,2006,0.486
Chile,Urbano,Colina,2009,0.34499
Chile,Urbano,Concepci—n (çrea Metropolitana),1990,0.534
Chile,Urbano,Concepci—n (çrea Metropolitana),1994,0.521
Chile,Urbano,Concepci—n (çrea Metropolitana),2000,0.44
Chile,Urbano,Concepci—n (çrea Metropolitana),2003,0.529
Chile,Urbano,Concepci—n (çrea Metropolitana),2006,0.505
